kol,rejim,blok,origin,model,hedef_ay,y_true,y_pred_q50
T0,SOK,SELECT,2021-08-01,RecursiveTabular,2021-09-01,8.279747176280907,10.348268508911133
T0,SOK,SELECT,2021-08-01,DirectTabular,2021-09-01,8.279747176280907,1.0074928998947144
T0,SOK,SELECT,2021-08-01,ETS,2021-09-01,8.279747176280907,0.4674665605950623
T0,SOK,SELECT,2021-08-01,Theta,2021-09-01,8.279747176280907,3.604522228240967
T0,SOK,SELECT,2021-08-01,Chronos2,2021-09-01,8.279747176280907,0.13328099250793457
T0,SOK,SELECT,2021-08-01,Toto2,2021-09-01,8.279747176280907,0.44562527537345886
T0,SOK,SELECT,2021-08-01,WeightedEnsemble,2021-09-01,8.279747176280907,3.604522228240967
T0,SOK,SELECT,2021-08-01,sifir,2021-09-01,8.279747176280907,0.0
T0,SOK,SELECT,2021-08-01,naive,2021-09-01,8.279747176280907,16.451898507805947
T0,SOK,SELECT,2021-08-01,mevsimsel_naive,2021-09-01,8.279747176280907,9.408234654401094
T0,SOK,SELECT,2021-08-01,son12_ortalama,2021-09-01,8.279747176280907,-0.5920287877509306
T0,SOK,SELECT,2021-09-01,SeasonalNaive,2021-10-01,5.65167614073621,-10.335965571611636
T0,SOK,SELECT,2021-09-01,RecursiveTabular,2021-10-01,5.65167614073621,-11.097997665405273
T0,SOK,SELECT,2021-09-01,DirectTabular,2021-10-01,5.65167614073621,5.591338634490967
T0,SOK,SELECT,2021-09-01,ETS,2021-10-01,5.65167614073621,0.6251246185212583
T0,SOK,SELECT,2021-09-01,Theta,2021-10-01,5.65167614073621,4.3260297775268555
T0,SOK,SELECT,2021-09-01,Chronos2,2021-10-01,5.65167614073621,0.25813010334968567
T0,SOK,SELECT,2021-09-01,Toto2,2021-10-01,5.65167614073621,0.8612621426582336
T0,SOK,SELECT,2021-09-01,WeightedEnsemble,2021-10-01,5.65167614073621,-8.062977075198338
T0,SOK,SELECT,2021-09-01,sifir,2021-10-01,5.65167614073621,0.0
T0,SOK,SELECT,2021-09-01,naive,2021-10-01,5.65167614073621,8.279747176280907
T0,SOK,SELECT,2021-09-01,mevsimsel_naive,2021-10-01,5.65167614073621,-10.335965571611636
T0,SOK,SELECT,2021-09-01,son12_ortalama,2021-10-01,5.65167614073621,-0.6860694109276132
T0,SOK,SELECT,2021-10-01,SeasonalNaive,2021-11-01,25.39849685931456,-24.71378643217448
T0,SOK,SELECT,2021-10-01,RecursiveTabular,2021-11-01,25.39849685931456,-23.76774787902832
T0,SOK,SELECT,2021-10-01,DirectTabular,2021-11-01,25.39849685931456,8.175215721130371
T0,SOK,SELECT,2021-10-01,ETS,2021-11-01,25.39849685931456,0.706375022377902
T0,SOK,SELECT,2021-10-01,Theta,2021-11-01,25.39849685931456,4.670365333557129
T0,SOK,SELECT,2021-10-01,Chronos2,2021-11-01,25.39849685931456,0.4590822160243988
T0,SOK,SELECT,2021-10-01,Toto2,2021-11-01,25.39849685931456,1.7470262050628662
T0,SOK,SELECT,2021-10-01,WeightedEnsemble,2021-11-01,25.39849685931456,6.119036722183227
T0,SOK,SELECT,2021-10-01,sifir,2021-11-01,25.39849685931456,0.0
T0,SOK,SELECT,2021-10-01,naive,2021-11-01,25.39849685931456,5.65167614073621
T0,SOK,SELECT,2021-10-01,mevsimsel_naive,2021-11-01,25.39849685931456,-24.71378643217448
T0,SOK,SELECT,2021-10-01,son12_ortalama,2021-11-01,25.39849685931456,0.6462340651013742
T0,SOK,SELECT,2021-11-01,SeasonalNaive,2021-12-01,-28.48981623312932,-26.59472251283588
T0,SOK,SELECT,2021-11-01,RecursiveTabular,2021-12-01,-28.48981623312932,-24.728410720825195
T0,SOK,SELECT,2021-11-01,DirectTabular,2021-12-01,-28.48981623312932,4.1018900871276855
T0,SOK,SELECT,2021-11-01,ETS,2021-12-01,-28.48981623312932,1.2654647149224236
T0,SOK,SELECT,2021-11-01,Theta,2021-12-01,-28.48981623312932,7.2315850257873535
T0,SOK,SELECT,2021-11-01,Chronos2,2021-12-01,-28.48981623312932,1.6345231533050537
T0,SOK,SELECT,2021-11-01,Toto2,2021-12-01,-28.48981623312932,1.5918455123901367
T0,SOK,SELECT,2021-11-01,WeightedEnsemble,2021-12-01,-28.48981623312932,4.1018900871276855
T0,SOK,SELECT,2021-11-01,sifir,2021-12-01,-28.48981623312932,0.0
T0,SOK,SELECT,2021-11-01,naive,2021-12-01,-28.48981623312932,25.39849685931456
T0,SOK,SELECT,2021-11-01,mevsimsel_naive,2021-12-01,-28.48981623312932,-26.59472251283588
T0,SOK,SELECT,2021-11-01,son12_ortalama,2021-12-01,-28.48981623312932,4.82225767272546
T0,SOK,SELECT,2021-12-01,SeasonalNaive,2022-01-01,-70.16063264994634,-16.72519933077777
T0,SOK,SELECT,2021-12-01,RecursiveTabular,2022-01-01,-70.16063264994634,-15.928592681884766
T0,SOK,SELECT,2021-12-01,DirectTabular,2022-01-01,-70.16063264994634,-14.567977905273438
T0,SOK,SELECT,2021-12-01,ETS,2022-01-01,-70.16063264994634,0.7059243685148265
T0,SOK,SELECT,2021-12-01,Theta,2022-01-01,-70.16063264994634,3.452194929122925
T0,SOK,SELECT,2021-12-01,Chronos2,2022-01-01,-70.16063264994634,0.0559963583946228
T0,SOK,SELECT,2021-12-01,Toto2,2022-01-01,-70.16063264994634,1.1461248397827148
