kol,rejim,origin,model,hedef_ay,y_true,y_pred_q50
T0,SOK_2020_04_2022_12,2021-09-01,Chronos2,2021-12-01,24.406716659833776,12.266633033752441
T0,SOK_2020_04_2022_12,2021-09-01,Toto2,2021-12-01,24.406716659833776,-8.583715438842773
T0,SOK_2020_04_2022_12,2021-09-01,WeightedEnsemble,2021-12-01,24.406716659833776,-0.9274283727848598
T0,SOK_2020_04_2022_12,2021-09-01,sifir,2021-12-01,24.406716659833776,0.0
T0,SOK_2020_04_2022_12,2021-09-01,son12_ortalama,2021-12-01,24.406716659833776,-6.667403346530354
T0,SOK_2020_04_2022_12,2021-10-01,SeasonalNaive,2022-01-01,-2.7222109811672275,-50.27348041149137
T0,SOK_2020_04_2022_12,2021-10-01,RecursiveTabular,2022-01-01,-2.7222109811672275,-55.59461212158203
T0,SOK_2020_04_2022_12,2021-10-01,DirectTabular,2022-01-01,-2.7222109811672275,-2.318495988845825
T0,SOK_2020_04_2022_12,2021-10-01,ETS,2022-01-01,-2.7222109811672275,27.943704810920707
T0,SOK_2020_04_2022_12,2021-10-01,Theta,2022-01-01,-2.7222109811672275,24.226627349853516
T0,SOK_2020_04_2022_12,2021-10-01,Chronos2,2022-01-01,-2.7222109811672275,17.791933059692383
T0,SOK_2020_04_2022_12,2021-10-01,Toto2,2022-01-01,-2.7222109811672275,6.9670515060424805
T0,SOK_2020_04_2022_12,2021-10-01,WeightedEnsemble,2022-01-01,-2.7222109811672275,-0.9221611640170835
T0,SOK_2020_04_2022_12,2021-10-01,sifir,2022-01-01,-2.7222109811672275,0.0
T0,SOK_2020_04_2022_12,2021-10-01,son12_ortalama,2022-01-01,-2.7222109811672275,-4.088505722305425
T0,SOK_2020_04_2022_12,2021-11-01,SeasonalNaive,2022-02-01,-46.08443020014799,-56.20072992364159
T0,SOK_2020_04_2022_12,2021-11-01,RecursiveTabular,2022-02-01,-46.08443020014799,-55.5859260559082
T0,SOK_2020_04_2022_12,2021-11-01,DirectTabular,2022-02-01,-46.08443020014799,-1.7047995328903198
T0,SOK_2020_04_2022_12,2021-11-01,ETS,2022-02-01,-46.08443020014799,24.967782908268067
T0,SOK_2020_04_2022_12,2021-11-01,Theta,2022-02-01,-46.08443020014799,21.464643478393555
T0,SOK_2020_04_2022_12,2021-11-01,Chronos2,2022-02-01,-46.08443020014799,6.872338771820068
T0,SOK_2020_04_2022_12,2021-11-01,Toto2,2022-02-01,-46.08443020014799,10.159191131591797
T0,SOK_2020_04_2022_12,2021-11-01,WeightedEnsemble,2022-02-01,-46.08443020014799,16.8270173012527
T0,SOK_2020_04_2022_12,2021-11-01,sifir,2022-02-01,-46.08443020014799,0.0
