kol,blok,origin,model,hedef_ay,y_true,y_pred_q50
T0,CONFIRM,2025-01-01,sifir,2025-04-01,-7.560802892465666,0.0
T0,CONFIRM,2025-01-01,son12_ortalama,2025-04-01,-7.560802892465666,7.171292743421554
T0,CONFIRM,2025-02-01,SeasonalNaive,2025-05-01,5.528626487670866,1.7542045779339082
T0,CONFIRM,2025-02-01,RecursiveTabular,2025-05-01,5.528626487670866,-10.692666053771973
T0,CONFIRM,2025-02-01,DirectTabular,2025-05-01,5.528626487670866,22.884063720703125
T0,CONFIRM,2025-02-01,ETS,2025-05-01,5.528626487670866,-12.040048061826827
T0,CONFIRM,2025-02-01,Theta,2025-05-01,5.528626487670866,-15.76938247680664
T0,CONFIRM,2025-02-01,Chronos2,2025-05-01,5.528626487670866,3.7586684226989746
T0,CONFIRM,2025-02-01,Toto2,2025-05-01,5.528626487670866,-5.285006999969482
T0,CONFIRM,2025-02-01,WeightedEnsemble,2025-05-01,5.528626487670866,22.548296422958373
T0,CONFIRM,2025-02-01,sifir,2025-05-01,5.528626487670866,0.0
T0,CONFIRM,2025-02-01,son12_ortalama,2025-05-01,5.528626487670866,4.6260505991858
T0,CONFIRM,2025-03-01,SeasonalNaive,2025-06-01,12.821982748855913,-8.974744432748658
T0,CONFIRM,2025-03-01,RecursiveTabular,2025-06-01,12.821982748855913,-8.073261260986328
T0,CONFIRM,2025-03-01,DirectTabular,2025-06-01,12.821982748855913,17.70728874206543
T0,CONFIRM,2025-03-01,ETS,2025-06-01,12.821982748855913,-19.84314720013227
T0,CONFIRM,2025-03-01,Theta,2025-06-01,12.821982748855913,-23.579208374023438
T0,CONFIRM,2025-03-01,Chronos2,2025-06-01,12.821982748855913,0.06921303272247314
T0,CONFIRM,2025-03-01,Toto2,2025-06-01,12.821982748855913,-0.9326454401016235
T0,CONFIRM,2025-03-01,WeightedEnsemble,2025-06-01,12.821982748855913,-8.027245956127377
T0,CONFIRM,2025-03-01,sifir,2025-06-01,12.821982748855913,0.0
T0,CONFIRM,2025-03-01,son12_ortalama,2025-06-01,12.821982748855913,1.7383703910030166
T1,SELECT,2023-04-01,SeasonalNaive,2023-07-01,-2.7520384522287724,20.249653394811894
T1,SELECT,2023-04-01,RecursiveTabular,2023-07-01,-2.7520384522287724,21.60780143737793
T1,SELECT,2023-04-01,DirectTabular,2023-07-01,-2.7520384522287724,13.565876960754395
T1,SELECT,2023-04-01,ETS,2023-07-01,-2.7520384522287724,-2.382179717794955
T1,SELECT,2023-04-01,Theta,2023-07-01,-2.7520384522287724,-6.5594987869262695
T1,SELECT,2023-04-01,Chronos2,2023-07-01,-2.7520384522287724,-1.8913198709487915
T1,SELECT,2023-04-01,Toto2,2023-07-01,-2.7520384522287724,2.666370153427124
T1,SELECT,2023-04-01,WeightedEnsemble,2023-07-01,-2.7520384522287724,2.441299041848124
T1,SELECT,2023-04-01,sifir,2023-07-01,-2.7520384522287724,0.0
T1,SELECT,2023-04-01,son12_ortalama,2023-07-01,-2.7520384522287724,9.427449541467665
T1,SELECT,2023-05-01,SeasonalNaive,2023-08-01,-25.38770344207784,-9.64886759745382
T1,SELECT,2023-05-01,RecursiveTabular,2023-08-01,-25.38770344207784,-6.57311487197876
T1,SELECT,2023-05-01,DirectTabular,2023-08-01,-25.38770344207784,-1.6652889251708984
T1,SELECT,2023-05-01,ETS,2023-08-01,-25.38770344207784,14.131571003561682
